17-Aug-2026 00:38:07 | Trial 29/110 | record 27 | sigma_noise = 0.03 | realization 7/10 | success = 0 | crossings = NaN | steps = 91478 | retargets = 60 | seconds = 198.7 | elapsed = 9.1 min | ETA = 25.4 min
17-Aug-2026 00:38:39 | Trial 30/110 | record 28 | sigma_noise = 0.03 | realization 8/10 | success = 0 | crossings = NaN | steps = 86811 | retargets = 57 | seconds = 205.8 | elapsed = 9.6 min | ETA = 25.7 min
17-Aug-2026 00:38:58 | Trial 31/110 | record 29 | sigma_noise = 0.03 | realization 9/10 | success = 0 | crossings = NaN | steps = 92334 | retargets = 60 | seconds = 214.5 | elapsed = 10.0 min | ETA = 25.4 min
17-Aug-2026 00:39:04 | Trial 32/110 | record 36 | sigma_noise = 0.05 | realization 6/10 | success = 1 | crossings = 28 | steps = 31649 | retargets = 20 | seconds = 56.6 | elapsed = 10.1 min | ETA = 24.5 min
17-Aug-2026 00:39:08 | Trial 33/110 | record 31 | sigma_noise = 0.05 | realization 1/10 | success = 1 | crossings = 50 | steps = 64336 | retargets = 42 | seconds = 133.8 | elapsed = 10.1 min | ETA = 23.6 min
17-Aug-2026 00:39:31 | Trial 34/110 | record 33 | sigma_noise = 0.05 | realization 3/10 | success = 1 | crossings = 35 | steps = 59464 | retargets = 39 | seconds = 143.0 | elapsed = 10.5 min | ETA = 23.5 min
17-Aug-2026 00:40:00 | Trial 35/110 | record 34 | sigma_noise = 0.05 | realization 4/10 | success = 0 | crossings = NaN | steps = 73095 | retargets = 48 | seconds = 134.8 | elapsed = 11.0 min | ETA = 23.5 min
17-Aug-2026 00:41:31 | Trial 36/110 | record 35 | sigma_noise = 0.05 | realization 5/10 | success = 0 | crossings = NaN | steps = 98014 | retargets = 64 | seconds = 206.5 | elapsed = 12.5 min | ETA = 25.7 min
17-Aug-2026 00:41:58 | Trial 37/110 | record 37 | sigma_noise = 0.05 | realization 7/10 | success = 0 | crossings = NaN | steps = 93875 | retargets = 61 | seconds = 196.7 | elapsed = 12.9 min | ETA = 25.5 min
17-Aug-2026 00:42:01 | Trial 38/110 | record 38 | sigma_noise = 0.05 | realization 8/10 | success = 0 | crossings = NaN | steps = 81215 | retargets = 53 | seconds = 180.8 | elapsed = 13.0 min | ETA = 24.6 min
17-Aug-2026 00:42:22 | Trial 39/110 | record 39 | sigma_noise = 0.05 | realization 9/10 | success = 0 | crossings = NaN | steps = 92701 | retargets = 61 | seconds = 196.0 | elapsed = 13.3 min | ETA = 24.3 min
17-Aug-2026 00:42:30 | Trial 40/110 | record 40 | sigma_noise = 0.05 | realization 10/10 | success = 0 | crossings = NaN | steps = 95634 | retargets = 62 | seconds = 200.5 | elapsed = 13.5 min | ETA = 23.6 min
17-Aug-2026 00:42:53 | Trial 41/110 | record 43 | sigma_noise = 0.075 | realization 3/10 | success = 1 | crossings = 32 | steps = 32566 | retargets = 21 | seconds = 80.4 | elapsed = 13.9 min | ETA = 23.3 min
17-Aug-2026 00:43:11 | Trial 42/110 | record 41 | sigma_noise = 0.075 | realization 1/10 | success = 0 | crossings = NaN | steps = 101162 | retargets = 66 | seconds = 217.9 | elapsed = 14.2 min | ETA = 22.9 min
17-Aug-2026 00:43:14 | Trial 43/110 | record 42 | sigma_noise = 0.075 | realization 2/10 | success = 0 | crossings = NaN | steps = 95848 | retargets = 63 | seconds = 192.8 | elapsed = 14.2 min | ETA = 22.2 min
17-Aug-2026 00:43:42 | Trial 44/110 | record 45 | sigma_noise = 0.075 | realization 5/10 | success = 0 | crossings = NaN | steps = 55933 | retargets = 36 | seconds = 99.5 | elapsed = 14.7 min | ETA = 22.0 min
17-Aug-2026 00:44:39 | Trial 45/110 | record 44 | sigma_noise = 0.075 | realization 4/10 | success = 1 | crossings = 53 | steps = 71269 | retargets = 46 | seconds = 159.6 | elapsed = 15.6 min | ETA = 22.6 min
17-Aug-2026 00:44:43 | Trial 46/110 | record 47 | sigma_noise = 0.075 | realization 7/10 | success = 1 | crossings = 56 | steps = 64923 | retargets = 42 | seconds = 131.3 | elapsed = 15.7 min | ETA = 21.8 min
17-Aug-2026 00:45:06 | Trial 47/110 | record 46 | sigma_noise = 0.075 | realization 6/10 | success = 0 | crossings = NaN | steps = 79738 | retargets = 52 | seconds = 162.6 | elapsed = 16.1 min | ETA = 21.6 min
17-Aug-2026 00:45:46 | Trial 48/110 | record 49 | sigma_noise = 0.075 | realization 9/10 | success = 0 | crossings = NaN | steps = 72148 | retargets = 47 | seconds = 153.7 | elapsed = 16.8 min | ETA = 21.6 min
17-Aug-2026 00:46:10 | Trial 49/110 | record 51 | sigma_noise = 0.1 | realization 1/10 | success = 0 | crossings = NaN | steps = 73070 | retargets = 48 | seconds = 145.8 | elapsed = 17.1 min | ETA = 21.3 min
17-Aug-2026 00:46:24 | Trial 50/110 | record 48 | sigma_noise = 0.075 | realization 8/10 | success = 0 | crossings = NaN | steps = 104112 | retargets = 68 | seconds = 208.9 | elapsed = 17.4 min | ETA = 20.9 min
17-Aug-2026 00:46:32 | Trial 51/110 | record 56 | sigma_noise = 0.1 | realization 6/10 | success = 1 | crossings = 7 | steps = 8590 | retargets = 5 | seconds = 20.1 | elapsed = 17.5 min | ETA = 20.3 min
17-Aug-2026 00:46:33 | Trial 52/110 | record 50 | sigma_noise = 0.075 | realization 10/10 | success = 0 | crossings = NaN | steps = 92476 | retargets = 60 | seconds = 196.7 | elapsed = 17.5 min | ETA = 19.6 min
17-Aug-2026 00:47:16 | Trial 53/110 | record 55 | sigma_noise = 0.1 | realization 5/10 | success = 0 | crossings = NaN | steps = 39748 | retargets = 26 | seconds = 87.3 | elapsed = 18.3 min | ETA = 19.6 min
17-Aug-2026 00:47:28 | Trial 54/110 | record 59 | sigma_noise = 0.1 | realization 9/10 | success = 1 | crossings = 12 | steps = 19790 | retargets = 13 | seconds = 52.1 | elapsed = 18.5 min | ETA = 19.1 min
