Mode,SigmaNoise,Successes,TotalTrials,SuccessFraction,WilsonLower95,WilsonUpper95,MeanCrossingsToTargetAmongSuccesses,MedianCrossingsToTargetAmongSuccesses,MeanAcceptedCrossingsAllTrials,MeanFinalTargetError,MedianFinalTargetError,StdFinalTargetError,MeanRk4Steps,MeanPhysicalTime,MeanRetargetingEvents,MedianRetargetingEvents,MeanCompleteBisectionSearches,MeanRetargetingFailures,NumIntegrationFailures,NumStepBudgetExhaustions,NumAcceptedCrossingLimitExhaustions,NumRejectedCrossingLimitExhaustions,MeanComputationalTime
paperCycleCadenceRetargetMode,0,10,10,1,0.722467200137112,1,3,3,3,9.34919558783776e-05,9.34919558783776e-05,0,6099,6.09861910172454,4,4,5,0,0,0,0,0,8.80851158
paperCycleCadenceRetargetMode,0.01,3,10,0.3,0.107791267406301,0.603221852538854,47,52,56.1,0.812725401823708,0.815842540603391,0.762290235382712,79555.7,62.9710969023168,51.7,52,52.7,0,0,0,7,0,198.42079165
paperCycleCadenceRetargetMode,0.05,5,10,0.5,0.236593090512564,0.763406909487436,43.4,55,51.7,0.569974314169655,0.38540396830928,0.633108943262294,77408.2,68.4110681684038,50.5,51.5,51.5,1.2,0,0,5,0,170.9748
paperCycleCadenceRetargetMode,0.1,0,10,0,0,0.277532799862888,NaN,NaN,60,1.94246500034968,1.85442853965052,1.2155609824854,89217.7,NaN,58.2,59,59.2,2.1,0,0,10,0,212.60136833
paperCycleCadenceRetargetMode,0.5,1,10,0.1,0.017876213095073,0.404150026795238,22,22,56.2,1.73334655492281,1.13195904208178,1.88739881325973,80063,24.8469250245004,52.1,50,53.1,3,0,0,9,0,199.27987592
paperCycleCadenceRetargetMode,1,0,10,0,0,0.277532799862888,NaN,NaN,60,6.35990484813327,5.72550171744889,3.3720431274935,75964.5,NaN,49.6,49,50.6,4.3,0,0,10,0,163.99898777
