16-Aug-2026 11:52:10 | Trial 29/60 | record 30 | sigma_noise = 0.05 | realization 10/10 | success = 1 | crossings = 15 | steps = 26661 | retargets = 17 | seconds = 58.9 | elapsed = 7.8 min | ETA = 8.3 min
16-Aug-2026 11:52:29 | Trial 30/60 | record 27 | sigma_noise = 0.05 | realization 7/10 | success = 0 | crossings = NaN | steps = 79026 | retargets = 52 | seconds = 177.6 | elapsed = 8.1 min | ETA = 8.1 min
16-Aug-2026 11:53:20 | Trial 31/60 | record 28 | sigma_noise = 0.05 | realization 8/10 | success = 0 | crossings = NaN | steps = 78883 | retargets = 51 | seconds = 181.1 | elapsed = 8.9 min | ETA = 8.4 min
16-Aug-2026 11:53:23 | Trial 32/60 | record 24 | sigma_noise = 0.05 | realization 4/10 | success = 1 | crossings = 55 | steps = 121139 | retargets = 79 | seconds = 289.3 | elapsed = 9.0 min | ETA = 7.9 min
16-Aug-2026 11:54:40 | Trial 33/60 | record 29 | sigma_noise = 0.05 | realization 9/10 | success = 0 | crossings = NaN | steps = 88839 | retargets = 58 | seconds = 226.5 | elapsed = 10.3 min | ETA = 8.4 min
16-Aug-2026 11:55:22 | Trial 34/60 | record 32 | sigma_noise = 0.1 | realization 2/10 | success = 0 | crossings = NaN | steps = 93104 | retargets = 61 | seconds = 217.6 | elapsed = 11.0 min | ETA = 8.4 min
16-Aug-2026 11:55:51 | Trial 35/60 | record 35 | sigma_noise = 0.1 | realization 5/10 | success = 0 | crossings = NaN | steps = 83916 | retargets = 55 | seconds = 200.3 | elapsed = 11.5 min | ETA = 8.2 min
16-Aug-2026 11:56:50 | Trial 36/60 | record 34 | sigma_noise = 0.1 | realization 4/10 | success = 0 | crossings = NaN | steps = 107059 | retargets = 70 | seconds = 278.0 | elapsed = 12.4 min | ETA = 8.3 min
16-Aug-2026 11:56:57 | Trial 37/60 | record 33 | sigma_noise = 0.1 | realization 3/10 | success = 0 | crossings = NaN | steps = 119406 | retargets = 78 | seconds = 292.8 | elapsed = 12.5 min | ETA = 7.8 min
16-Aug-2026 11:57:00 | Trial 38/60 | record 37 | sigma_noise = 0.1 | realization 7/10 | success = 0 | crossings = NaN | steps = 89502 | retargets = 58 | seconds = 214.7 | elapsed = 12.6 min | ETA = 7.3 min
16-Aug-2026 11:57:21 | Trial 39/60 | record 36 | sigma_noise = 0.1 | realization 6/10 | success = 0 | crossings = NaN | steps = 93267 | retargets = 61 | seconds = 238.8 | elapsed = 12.9 min | ETA = 7.0 min
16-Aug-2026 11:57:42 | Trial 40/60 | record 38 | sigma_noise = 0.1 | realization 8/10 | success = 0 | crossings = NaN | steps = 69331 | retargets = 45 | seconds = 180.5 | elapsed = 13.3 min | ETA = 6.7 min
